n_epochs,losses,color_1,color_2,color_3,color_4,color_5,color_6,color_7,color_8,color_9,color_10,color_11,color_12,color_13,color_14,color_15,color_16,color_17,color_18,color_19,color_20
43,0.283447355,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
44,0.259977102,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
45,0.238106444,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
46,0.217944071,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
47,0.199386641,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
48,0.182451606,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
49,0.166947067,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
50,0.152798727,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
51,0.139991149,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
52,0.128403232,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
53,0.117827304,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
54,0.10826268,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
